0.001	9.548838469
0.002	10.6091913
0.003	11.26109307
0.004	11.73965096
0.005	12.12085348
0.006	12.43927836
0.007	12.71368305
0.008	12.95542227
0.009	13.17190937
0.01	13.36826063
0.011	13.54816061
0.012	13.71435378
0.013	13.86894115
0.014	14.01356812
0.015	14.14954811
0.016	14.2779469
0.017	14.39964155
0.018	14.51536285
0.019	14.62572633
0.02	14.73125545
0.021	14.83239925
0.022	14.92954594
0.023	15.02303345
0.024	15.11315786
0.025	15.20018008
0.026	15.28433124
0.027	15.36581713
0.028	15.44482176
0.029	15.52151038
0.03	15.59603196
0.031	15.66852128
0.032	15.73910071
0.033	15.80788165
0.034	15.87496589
0.035	15.94044664
0.036	16.00440947
0.037	16.06693317
0.038	16.12809045
0.039	16.18794851
0.04	16.24656964
0.041	16.30401167
0.042	16.36032839
0.043	16.41556991
0.044	16.46978302
0.045	16.52301145
0.046	16.57529616
0.047	16.62667555
0.048	16.67718569
0.049	16.72686049
0.05	16.77573187
0.051	16.82382992
0.052	16.87118307
0.053	16.91781814
0.054	16.96376054
0.055	17.0090343
0.056	17.05366221
0.057	17.09766591
0.058	17.14106592
0.059	17.18388177
0.06	17.22613203
0.061	17.26783439
0.062	17.30900571
0.063	17.34966206
0.064	17.38981879
0.065	17.42949056
0.066	17.46869138
0.067	17.50743466
0.068	17.54573322
0.069	17.58359936
0.07	17.62104486
0.071	17.65808101
0.072	17.69471865
0.073	17.73096821
0.074	17.76683966
0.075	17.80234265
0.076	17.8374864
0.077	17.87227981
0.078	17.90673147
0.079	17.94084961
0.08	17.9746422
0.081	18.0081169
0.082	18.0412811
0.083	18.07414196
0.084	18.10670636
0.085	18.13898096
0.086	18.17097219
0.087	18.20268627
0.088	18.23412923
0.089	18.26530687
0.09	18.29622483
0.091	18.32688857
0.092	18.35730336
0.093	18.38747432
0.094	18.41740641
0.095	18.44710444
0.096	18.47657307
0.097	18.50581684
0.098	18.53484012
0.099	18.56364718
0.1	18.59224217
0.101	18.6206291
0.102	18.64881189
0.103	18.67679432
0.104	18.7045801
0.105	18.73217281
0.106	18.75957594
0.107	18.78679291
0.108	18.813827
0.109	18.84068146
0.11	18.8673594
0.111	18.89386389
0.112	18.9201979
0.113	18.94636434
0.114	18.97236602
0.115	18.99820571
0.116	19.02388609
0.117	19.04940979
0.118	19.07477936
0.119	19.0999973
0.12	19.12506604
0.121	19.14998796
0.122	19.17476539
0.123	19.19940059
0.124	19.22389577
0.125	19.2482531
0.126	19.27247469
0.127	19.29656262
0.128	19.32051889
0.129	19.3443455
0.13	19.36804435
0.131	19.39161736
0.132	19.41506636
0.133	19.43839316
0.134	19.46159954
0.135	19.48468722
0.136	19.5076579
0.137	19.53051324
0.138	19.55325486
0.139	19.57588436
0.14	19.5984033
0.141	19.62081319
0.142	19.64311555
0.143	19.66531184
0.144	19.68740349
0.145	19.70939191
0.146	19.73127849
0.147	19.75306458
0.148	19.7747515
0.149	19.79634057
0.15	19.81783305
0.151	19.83923021
0.152	19.86053327
0.153	19.88174344
0.154	19.90286191
0.155	19.92388983
0.156	19.94482836
0.157	19.96567861
0.158	19.98644167
0.159	20.00711865
0.16	20.02771058
0.161	20.04821853
0.162	20.06864351
0.163	20.08898652
0.164	20.10924857
0.165	20.12943061
0.166	20.14953362
0.167	20.16955851
0.168	20.18950623
0.169	20.20937767
0.17	20.22917373
0.171	20.24889529
0.172	20.26854321
0.173	20.28811834
0.174	20.30762151
0.175	20.32705354
0.176	20.34641526
0.177	20.36570744
0.178	20.38493087
0.179	20.40408632
0.18	20.42317456
0.181	20.44219632
0.182	20.46115235
0.183	20.48004336
0.184	20.49887007
0.185	20.51763318
0.186	20.53633338
0.187	20.55497135
0.188	20.57354776
0.189	20.59206327
0.19	20.61051852
0.191	20.62891418
0.192	20.64725085
0.193	20.66552917
0.194	20.68374974
0.195	20.70191318
0.196	20.72002007
0.197	20.73807101
0.198	20.75606657
0.199	20.77400732
0.2	20.79189383
0.201	20.80972665
0.202	20.82750633
0.203	20.8452334
0.204	20.8629084
0.205	20.88053185
0.206	20.89810427
0.207	20.91562617
0.208	20.93309806
0.209	20.95052043
0.21	20.96789376
0.211	20.98521856
0.212	21.00249528
0.213	21.01972441
0.214	21.03690641
0.215	21.05404174
0.216	21.07113084
0.217	21.08817418
0.218	21.10517218
0.219	21.12212529
0.22	21.13903393
0.221	21.15589853
0.222	21.17271952
0.223	21.1894973
0.224	21.20623228
0.225	21.22292487
0.226	21.23957547
0.227	21.25618447
0.228	21.27275226
0.229	21.28927923
0.23	21.30576575
0.231	21.32221221
0.232	21.33861898
0.233	21.35498641
0.234	21.37131488
0.235	21.38760474
0.236	21.40385635
0.237	21.42007005
0.238	21.4362462
0.239	21.45238513
0.24	21.46848719
0.241	21.4845527
0.242	21.500582
0.243	21.51657541
0.244	21.53253327
0.245	21.54845588
0.246	21.56434357
0.247	21.58019664
0.248	21.59601541
0.249	21.61180018
0.25	21.62755125
0.251	21.64326893
0.252	21.6589535
0.253	21.67460527
0.254	21.69022452
0.255	21.70581154
0.256	21.72136661
0.257	21.73689001
0.258	21.75238202
0.259	21.76784292
0.26	21.78327297
0.261	21.79867245
0.262	21.81404163
0.263	21.82938076
0.264	21.8446901
0.265	21.85996993
0.266	21.87522048
0.267	21.89044202
0.268	21.9056348
0.269	21.92079906
0.27	21.93593504
0.271	21.95104301
0.272	21.96612318
0.273	21.98117581
0.274	21.99620113
0.275	22.01119937
0.276	22.02617077
0.277	22.04111555
0.278	22.05603394
0.279	22.07092617
0.28	22.08579246
